img,9-gummy,16-Incisal Embrasure,4-color,52-Crooked,41-Central Incisor W/H Ratio,,
41001_B.jpg,1,1,1,0,1,,
41002_B.jpg,0,1,1,0,1,,
41003_B.jpg,1,1,0,0,1,,
41004_B.jpg,1,1,1,0,1,,
41005_B.jpg,1,1,0,0,1,,
41006_B.jpg,1,1,1,0,1,,
41007_B.jpg,1,1,1,0,1,,
41008_B.jpg,0,1,1,0,1,,
41009_B.jpg,0,1,1,0,1,,
41010_B.jpg,0,1,1,0,1,,
41011_B.jpg,1,1,0,0,1,,
41012_B.jpg,1,0,1,0,1,,
41013_B.jpg,0,1,0,1,1,,
41014_B.jpg,0,1,1,0,1,,
41015_B.jpg,0,1,1,1,1,,
41016_B.jpg,0,0,0,0,1,,
41017_B.jpg,1,1,0,0,1,,
41018_B.jpg,0,0,0,0,1,,
41019_B.jpg,0,0,1,0,1,,
41020.png,0,1,1,0,1,,
41021.png,0,0,1,0,1,,
41022.png,0,1,1,0,1,,
41023.png,0,0,0,0,1,,
41024.png,0,1,0,0,1,,
41025.png,0,0,1,0,1,,
41026.png,0,0,1,0,1,,
41027.png,0,0,1,0,1,,
41028.png,0,0,1,0,1,,
41029.png,0,0,1,0,1,,
41030.png,0,1,1,0,1,,
41001_A.jpg,1,0,0,0,0,,
41002_A.jpg,0,0,0,0,0,,
41003_A.jpg,0,0,0,0,0,,
41004_A.jpg,0,0,0,0,0,,
41005_A.jpg,1,0,0,0,0,,
41006_A.jpg,0,0,0,0,0,,
41007_A.jpg,0,0,0,0,0,,
41008_A.jpg,0,0,0,0,0,,
41009_A.jpg,0,0,0,0,0,,
41010_A.jpg,0,0,0,0,0,,
41011_A.jpg,0,0,0,0,0,,
41012_A.jpg,0,0,1,0,0,,
41013_A.jpg,0,0,1,0,0,,
41014_A.jpg,0,0,0,0,0,,
41015_A.jpg,0,0,0,0,0,,
41016_A.jpg,0,0,0,0,0,,
41017_A.jpg,0,0,0,0,0,,
41018_A.jpg,0,0,0,0,0,,
41019_A.jpg,0,0,0,0,0,,
52001_B.jpg,0,1,0,1,1,,
52002_B.jpg,1,1,1,1,1,,
52003_B.jpg,0,1,0,1,1,,
52004_B.jpg,0,1,1,1,0,,
52005_B.jpg,0,1,1,1,0,,
52006_B.png,1,1,1,1,1,,
52007_B.jpg,0,1,1,1,0,,
52008.jpg,0,1,1,1,1,,
52009_B.png,0,1,0,1,1,,
52010_B.jpg,0,1,1,1,1,,
52011_B.jpg,0,1,1,1,1,,
52012_B.png,0,1,0,1,1,,
52013_B.jpg,0,1,1,1,1,,
52014_B.jpg,0,1,0,1,1,,
52015.jpg,0,1,1,1,1,,
52016.jpg,0,1,1,1,1,,
52017.jpg,0,1,1,1,1,,
52018.jpg,0,1,1,1,0,,
52019_B.jpg,0,1,1,1,1,,
52020_B.jpg,0,1,1,1,1,,
52021.png,1,0,0,1,0,,
52022.jpg,1,1,0,1,1,,
52023.jpg,0,0,1,1,0,,
52024-b.jpg,1,0,1,1,0,,
52025.jpg,0,1,1,1,0,,
52026.jpg,0,1,0,1,1,,
52027.jpg,0,0,1,1,1,,
52028.jpg,0,0,1,1,1,,
52029.jpg,0,1,1,1,0,,
52030.jpg,0,1,1,1,0,,
52031.jpg,1,1,1,1,1,,
52032.jpg,0,0,0,1,0,,
52033.jpg,0,1,1,1,0,,
52034.jpg,0,1,0,1,1,,
52001_A.jpg,0,0,0,0,0,,
52002_A.jpg,0,0,0,0,1,,
52003_A.jpg,0,0,0,0,0,,
52004_A.jpg,0,0,0,0,0,,
52005_A.jpg,0,1,1,0,0,,
52006_A.png,0,0,0,0,1,,
52007_A.jpg,0,0,1,0,0,,
52009_A.png,0,0,0,0,1,,
52010_A.jpg,0,0,1,0,1,,
52011_A.jpg,0,0,1,0,1,,
52012_A.png,0,0,0,0,1,,
52013_A.jpg,0,1,1,0,0,,
52014_A.jpg,0,1,0,0,1,,
52019_A.jpg,0,0,0,0,1,,
52020_A.jpg,0,0,0,0,0,,
52024-a.jpg,0,0,1,0,0,,
52023-a.jpg,0,0,0,0,0,,
52028-a.jpg,0,1,0,0,1,,
4001-b.jpg,1,0,1,0,1,,
4002-b.jpg,0,0,1,0,1,,
4003-b.jpg,0,1,1,1,1,,
4004-b.jpg,0,1,1,0,1,,
4005-b.jpg,1,1,1,1,1,,
4006-b.jpg,0,1,1,0,1,,
4007-b.jpg,1,0,1,0,1,,
4008-b.jpg,1,0,1,0,1,,
4009-b.jpg,0,0,1,1,1,,
4010-b.jpg,0,0,1,0,1,,
4011-b.jpg,0,1,1,0,1,,
4012-b.jpg,1,0,1,0,1,,
4013.jpg,0,1,1,0,1,,
4014.jpg,0,1,1,1,0,,
4015.jpg,1,1,1,0,0,,
4016.jpg,0,1,1,0,0,,
4017.jpg,0,1,1,1,0,,
4018.jpg,0,0,1,0,1,,
4019.jpg,0,1,1,0,0,,
4020.jpg,0,1,1,1,1,,
4021.jpg,0,1,1,1,1,,
4022.jpg,0,1,1,1,1,,
4023.jpg,1,1,1,0,0,,
4024.jpg,0,0,1,0,1,,
4025.jpg,0,0,1,0,1,,
4026.jpg,0,1,1,1,0,,
4027.jpg,0,0,1,1,0,,
4028.jpg,0,1,1,1,0,,
4029.jpg,0,1,1,1,0,,
4030.jpg,1,1,1,1,0,,
4031.jpg,0,1,1,0,1,,
4001-a.jpg,1,0,0,0,0,,
4002-a.jpg,0,0,0,0,1,,
4003-a.jpg,0,0,0,0,1,,
4004-a.jpg,0,1,1,0,1,,
4005-a.jpg,0,0,0,0,0,,
4006-a.jpg,1,1,0,0,1,,
4007-a.jpg,0,1,0,0,1,,
4008-a.jpg,1,0,0,0,1,,
4009-a.jpg,0,0,0,0,0,,
4010-a.jpg,0,1,0,0,1,,
4011-a.jpg,0,0,0,0,1,,
4012-a.jpg,1,1,0,0,1,,
18001-b.jpg,0,0,0,0,0,,
18002-b.jpg,0,1,0,0,1,,
18003-b.jpg,1,1,1,0,1,,
18004-b.jpg,0,1,1,0,0,,
18005-b.jpg,0,1,1,0,1,,
18006.jpg,0,1,1,1,1,,
18007.jpg,0,1,0,1,1,,
18008.jpg,0,0,0,0,1,,
18009_b.jpg,1,1,0,0,1,,
18010_b.jpg,0,1,0,0,1,,
18001-a.jpg,0,1,0,0,0,,
18002-a.jpg,0,0,0,0,0,,
18003-a.jpg,1,0,1,0,1,,
18004-a.jpg,0,1,0,0,0,,
18005-a.jpg,0,0,0,0,0,,
18009_a.jpg,0,0,0,0,1,,
18010_a.jpg,0,0,0,0,1,,
17001-b.jpg,1,1,0,0,1,,
